Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animal,Model,Strain,Sex,Repro,FoodSched,Type,AL,CV1,Prots1,Carbs1,Fats1,Intake,CI1,Age1,N1,LT25contr,LT50contr,LT75contr,CR,CV2,c_nCR,c_CR,CI2,c_aCR,Prots2,Carbs2,Fats2,Age2,N2,Page,Prots,PD25,PD50,PD75,c_LT25_logHR,c_LT25_varlogHR,c_LT50_logHR,c_LT50_varlogHR,c_LT75_logHR,c_LT75_varlogHR,c_LT2550_logHR,c_LT2550_varlogHR,c_LT5075_logHR,c_LT5075_varlogHR,c_all_logHR,c_all_varlogHR,Notes_control,Notes_treatment
Comp0030,Exp0008,Paper012,Bonelli,2008,BIOGERONTOLOGY,9,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,EOD,FD,1,502416,28.8,58.5,12.7,0,,90,40,565,688,,0.9,431240.4,0.86,0.86,,,28.8,58.5,12.7,90,40,0.13740458,0.288,12.48,26.54,,-0.668,0.267,-0.613,0.131,-2,0.133,-0.719,0.258,,,-0.694,0.131,"no data on the amounts of foods provided/consumed, type of food, survival after 90 weeks",fasted 1 day/week
Comp0031,Exp0008,Paper012,Bonelli,2008,BIOGERONTOLOGY,9,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,EOD,FD,1,502416,28.8,58.5,12.7,0,,90,40,565,688,,0.7,251208,0.5,0.5,,,28.8,58.5,12.7,90,40,0.13740458,0.288,4.92,7.38,,-1.342,0.334,-1.486,0.174,-2,0.133,-1.904,0.369,,,-1.609,0.175,"no data on the amounts of foods provided/consumed, type of food, survival after 90 weeks",fed EOD
Comp0068,Exp0026,Paper049,Fernandes,1997,J CLIN IMMUNOL,17,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344xBNF1,F,0,D,FW,1,502416,28.8,58.5,12.7,0,,98,34,864.4,944,1051.4,0.6,301449.6,0.6,0.6,,,28.8,58.5,12.7,98,34,0.101828761,0.288,3.1,6.9,14.54,-1.559,0.419,-1.515,0.207,-1.35,0.131,-1.756,0.415,-1.832,0.396,-1.718,0.137,assumed standard lab rat chow diet,
Comp0144,Exp0076,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344xBNF1,M,0,D,FW,1,273314.3,22,66.2,11.8,1,273314.3,98,54,803.11,920.74,1030.31,0.6,163988.6,0.6,0.6,163988.6,0.6,22,66.2,11.8,98,54,0.108754758,0.22,10.6,20.49,36.4,-0.809,0.208,-0.837,0.105,-0.693,0.066,-1.049,0.214,-0.949,0.191,-0.935,0.068,NIH-31 diet,
Comp0145,Exp0077,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,249114.6,22,66.2,11.8,1,249114.6,98,54,591.8,664.25,730.29,0.6,149468.8,0.6,0.6,149468.8,0.6,22,66.2,11.8,98,54,0.142070165,0.22,16.61,30.39,46.64,-0.403,0.178,-0.488,0.092,-0.466,0.061,-0.687,0.192,-0.773,0.185,-0.617,0.062,NIH-31 diet,
Comp0146,Exp0078,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,204759.6,28.8,58.5,12.7,1,204759.6,42,54,574.94,654.37,702,0.6,122855.8,0.6,0.6,122855.8,0.6,28.8,58.5,12.7,42,54,0.068077933,0.288,12.46,20.99,29.89,-0.67,0.198,-0.817,0.104,-0.86,0.071,-1.144,0.222,-1.474,0.23,-1.074,0.072,Purina 5010 diet,
Comp0147,Exp0079,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,FW,1,232032.5,22,66.2,11.8,1,232032.5,98,54,729.47,843.19,917.67,0.6,139219.5,0.6,0.6,139219.5,0.6,22,66.2,11.8,98,54,0.118433297,0.22,12.72,22.97,35.69,-0.651,0.196,-0.741,0.102,-0.71,0.067,-0.994,0.211,-1.128,0.206,-0.919,0.068,NIH-31 diet,
Comp0153,Exp0085,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344xBNF1,F,0,D,FW,1,217797.3,22,66.2,11.8,1,217797.3,98,54,754.25,872.26,977.49,0.6,130678.4,0.6,0.6,130678.4,0.6,22,66.2,11.8,98,54,0.114989733,0.22,5.37,11.83,20.79,-1.293,0.244,-1.235,0.12,-1.132,0.077,-1.429,0.239,-1.621,0.236,-1.449,0.08,NIH-31 diet,
Comp0154,Exp0086,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,F,0,D,FW,1,202138.7,22,66.2,11.8,1,202138.7,98,54,613.84,692.54,780.7,0.6,121283.2,0.6,0.6,121283.2,0.6,22,66.2,11.8,98,54,0.137671387,0.22,21.2,30.04,45.23,-0.165,0.16,-0.499,0.093,-0.495,0.062,-1.005,0.219,-0.844,0.19,-0.626,0.062,NIH-31 diet,
Comp0155,Exp0087,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,F,0,D,FW,1,178985.7,28.8,58.5,12.7,1,178985.7,42,54,607.08,695.64,784.19,0.6,107391.4,0.6,0.6,107391.4,0.6,28.8,58.5,12.7,42,54,0.06470697,0.288,13.53,23.85,38.08,-0.595,0.192,-0.708,0.1,-0.653,0.066,-0.978,0.211,-1.007,0.197,-0.855,0.067,Purina 5010 diet,
Comp0156,Exp0088,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,F,0,D,FW,1,192174.1,22,66.2,11.8,1,192174.1,98,54,713.8,847.08,953.03,0.6,115304.5,0.6,0.6,115304.5,0.6,22,66.2,11.8,98,54,0.120719389,0.22,9.55,16.9,32.51,-0.894,0.214,-0.99,0.111,-0.79,0.069,-1.289,0.231,-1.023,0.194,-1.062,0.071,NIH-31 diet,
Comp0157,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,MF,0,D,BW,1,272560.7,25,30,45,0,,70,49,472.13,542.79,640.87,0.9,128953.4,0.47,0.47,,,31.3,50,18.7,70,40,0.129120322,0.2815,13.03,28.88,48.95,-0.61,0.231,-0.521,0.112,-0.412,0.072,-0.581,0.215,-0.569,0.198,-0.586,0.071,control - EO-HF,EL-LF 18% fat in diet
Comp0158,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,MF,0,D,BW,1,272560.7,25,30,45,0,,70,49,472.13,542.79,640.87,0.9,155749,0.57,0.57,,,25,30,45,70,41,0.129120322,0.25,12.68,27.11,47.18,-0.635,0.231,-0.578,0.113,-0.446,0.072,-0.671,0.22,-0.597,0.197,-0.633,0.072,control - EO-HF,EL-HF 45% fat in diet
Comp0211,Exp0107,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,FW,1,232032.5,22,66.2,11.8,1,232032.5,112,50,593.28,784.49,899.96,0.6,139219.5,0.6,0.6,139219.5,0.6,22,66.2,11.8,112,50,0.158802178,0.22,13.73,20.42,43.31,-0.582,0.207,-0.84,0.114,-0.536,0.068,-1.302,0.254,-0.575,0.176,-0.775,0.069,,
Comp0212,Exp0108,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,249114.6,22,66.2,11.8,1,249114.6,112,50,545.53,629.17,696.9,0.6,149468.8,0.6,0.6,149468.8,0.6,22,66.2,11.8,112,50,0.170334433,0.22,6.69,11.97,23.24,-1.156,0.252,-1.227,0.129,-1.054,0.081,-1.538,0.267,-1.416,0.239,-1.368,0.084,,
Comp0218,Exp0112,Paper086,Yanai,2004,NEUROBIOL AGING,25,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,M,0,D,FW,1,291401.3,25.4,64.1,10.5,0,,75,16,435,555,,0.35,145700.6,0.5,0.5,,,25.4,64.1,10.5,75,16,0.147058824,0.254,0,12.5,,-2,1,-1.2,0.4,-2,0.333,-0.972,0.681,,,-1.388,0.405,based on data from under Fig. 5,
Comp0221,Exp0114,Paper088,Tanaka,2002,ARCH GERONTOL GERIAT,35,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Donyru,M,0,D,FW,1,291401.3,25.4,64.1,10.5,0,,28,36,609.11,639.4,695.22,0.6,174840.8,0.6,0.6,,,25.4,64.1,10.5,28,29,0.043948455,0.254,3.3,3.3,16.58,-1.417,0.406,-1.601,0.213,-1.194,0.127,-2.039,0.445,-1.299,0.327,-1.55,0.129,confusing info on the diet,
Comp0234,Exp0122,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Lobund-Wistar,M,0,EOD,FD,1,249772.5,30,54,16,0,,56,101,341.07,568.8,672.3,0.7,174840.8,0.7,0.7,,,30,54,16,56,88,0.141033067,0.3,4.05,25.4,30.34,-1.374,0.139,-0.638,0.055,-0.824,0.039,-0.403,0.091,-1.702,0.137,-1.049,0.039,Conventionaly housed,
Comp0235,Exp0123,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Lobund-Wistar,M,0,EOD,FD,1,249772.5,24.8,68.6,6.6,0,,56,96,506.69,638.55,761.67,0.7,174840.8,0.7,0.7,,,24.8,68.6,6.6,56,127,0.099521939,0.248,7.94,18.87,45.68,-1.116,0.12,-0.965,0.057,-0.503,0.031,-1.07,0.112,-0.441,0.079,-0.818,0.033,Germ free,
Comp0236,Exp0124,Paper095,Shimokawa,1991,J GERONTOL A-BIOL,46,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816,23.4,52.4,24.2,1,240816,42,111,740.76,854.28,918.53,0.6,145192,0.6,0.6,145192,0.6,23.7,51.8,24.5,42,89,0.053656293,0.2355,5.99,20.42,34.5,-1.149,0.122,-0.803,0.055,-0.711,0.036,-0.74,0.099,-1.013,0.101,-0.954,0.035,control - ALII,DR
Comp0239,Exp0127,Paper098,Shimokawa,2003,FASEB J,17,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,M,0,D,FW,1,240816,23.4,52.4,24.2,0,,42,30,752.35,858.2,948.3,0.7,169391,0.7,0.7,,,23.7,51.8,24.5,42,30,0.052873419,0.2355,14.08,19.72,48.95,-0.559,0.341,-0.869,0.191,-0.42,0.108,-1.406,0.437,-0.326,0.26,-0.674,0.11,"control - -/-AL, ass same diet as in Paper095",-/- CR
