Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animals,Strain,SlpES,SlpV,IntES,IntV
Comp0127,Exp0060,Paper071,Smith,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-1.537447005,0.172562673,1.526571429,0.546057143
Comp0169,Exp0093,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-1.383775024,0.100443279,0.780890372,0.365276454
Comp0133,Exp0065,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,MY2,-1.369598945,0.07721372,0.3876781,0.290332454
Comp0121,Exp0057,Paper068,Pletcher,2002,CURR BIOL,12,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-1.296382353,0.002382353,0.980058824,0.008470588
Comp0168,Exp0093,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-1.207577982,0.109834862,-0.055908257,0.436094566
Comp0190,Exp0096,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-1.167689256,0.044266116,1.897342149,0.120282645
Comp0198,Exp0099,Paper079,Weindruch,1982,SCIENCE,215,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-1.099577154,0.234021472,0.775755511,0.896398798
Comp0460,Exp0250,Paper169,Murtagh-Mark,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-1.078197262,0.118558805,1.583272558,0.412920971
Comp0124,Exp0060,Paper071,Smith,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-1.06367541,0.46375082,-3.156039344,1.965954098
Comp0189,Exp0096,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-1.041923179,0.040978808,1.860662252,0.092761589
Comp0343,Exp0181,Paper133,Koizumi,1992,J NUTR,122,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-1.024735158,0.174088842,0.493635368,0.708821474
Comp0332,Exp0174,Paper128,Kubo,1992,P NATL ACAD SCI USA,89,Spp002,Mouse,Mus,musculus,Mus_musculus,BXSB,-0.984407711,0.350064183,0.069884773,1.441745854
Comp0126,Exp0060,Paper071,Smith,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.983914264,0.516801652,-4.926002102,2.257862462
Comp0337,Exp0177,Paper131,Kaeberlein,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.969657578,0.183060545,-0.451068966,0.752965517
Comp0462,Exp0251,Paper170,Yu,1985,J GERONTOL A-BIOL,40,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.89948,0.16202,0.162483636,0.670538182
Comp0451,Exp0245,Paper165,Yu,1982,J GERONTOL A-BIOL,37,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.8916875,0.05628125,0.207793478,0.232717391
Comp0192,Exp0097,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.879817848,0.074343521,0.482334963,0.292679707
Comp0105,Exp0049,Paper061,Lee,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,fem-1(hc17),-0.870212264,0.063357311,1.850462264,0.177919811
Comp0303,Exp0155,Paper118,McCarter,2007,J GERONTOL A-BIOL,62,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.809080645,0.074398925,0.412483871,0.30536129
Comp0344,Exp0182,Paper133,Koizumi,1992,J NUTR,122,Spp002,Mouse,Mus,musculus,Mus_musculus,SHN/C3H,-0.808478261,0.235961957,-0.366918841,1.001494203
Comp0484,Exp0267,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.79571134,0.074237113,0.634268041,0.300736082
Comp0222,Exp0115,Paper089,Taylor,1995,MECH AGEING DEV,79,Spp002,Mouse,Mus,musculus,Mus_musculus,Emory,-0.775526932,0.121917447,0.085969555,0.51401171
Comp0226,Exp0118,Paper091,Turturro,2002,J GERONTOL A-BIOL,57,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6N,-0.775214511,0.108362776,0.040285804,0.458258044
Comp0459,Exp0249,Paper169,Murtagh-Mark,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.77421875,0.167619318,-0.204635417,0.711952652
Comp0461,Exp0251,Paper170,Yu,1985,J GERONTOL A-BIOL,40,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.753370884,0.186828423,-0.518863085,0.803944541
